"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Mississippi St.",71.4671,37,69.6095,67,108.074,185,113.602,107,112.936,288,106.319,109,7.28308,100
"2026","Mississippi Valley St.",69.696,111,66.9463,206,90.637,364,90.4231,364,119.194,356,121.879,356,-31.4563,365
"2026","Missouri",68.3415,182,66.1354,250,115.829,56,119.821,49,109.647,211,104.348,78,15.4733,50
"2026","Missouri St.",66.8079,255,65.8534,267,107.73,192,108.241,190,109.944,221,112.183,233,-3.94209,214
"2026","Monmouth",67.2198,238,67.071,198,105.829,235,106.352,228,104.173,80,107.236,127,-0.884572,179
"2026","Montana",70.9272,58,69.3858,76,107.502,200,107.5,210,109.578,208,108.959,162,-1.45982,182
"2026","Montana St.",67.3584,231,65.9656,262,111.381,113,111.133,138,108.133,171,108.119,141,3.01385,132
"2026","Morehead St.",66.8491,252,65.3996,291,107.045,212,107.147,218,111.819,267,117.508,324,-10.3604,282
"2026","Morgan St.",70.8774,61,70.8101,25,101.135,313,100.213,324,113.505,300,121.456,353,-21.2428,352
"2026","Mount St. Mary's",67.6712,215,67.5644,170,100.119,326,99.6041,333,104.346,84,109.225,168,-9.62083,278
"2026","Murray St.",72.2742,22,71.5923,17,115.231,64,116.483,74,110.612,236,112.335,235,4.1483,121
"2026","N.C. State",69.7442,107,69.0305,95,118.438,38,123.273,24,107.798,160,103.681,71,19.5915,37
"2026","Navy",65.1904,327,65.143,301,112.578,96,107.624,208,98.4893,19,105.772,101,1.85209,142
"2026","Nebraska",67.4961,224,66.8884,210,114.423,71,119.367,54,96.9999,9,92.4173,5,26.9495,12
"2026","Nebraska Omaha",68.6278,167,67.0695,199,107.35,203,106.435,226,112.763,285,114.406,278,-7.97146,262
"2026","Nevada",66.3564,284,65.5389,282,112.941,92,116.06,78,106.547,126,105.031,92,11.0289,76
"2026","New Hampshire",67.2165,240,67.5122,175,96.5127,349,95.5007,356,110.781,239,116.2,305,-20.6993,350
"2026","New Haven",63.529,360,63.3329,352,96.7611,346,96.3832,351,106.244,111,112.493,238,-16.1103,328
"2026","New Mexico",70.6625,74,70.0586,49,113.976,77,117.256,65,101.631,42,101.351,40,15.9049,49
"2026","New Mexico St.",67.2192,239,66.9,209,109.874,145,110.155,158,109.305,201,111.847,222,-1.6921,185
"2026","New Orleans",69.645,114,69.756,61,106.336,224,109.947,161,110.979,244,112.09,230,-2.1424,191
"2026","Niagara",63.0917,364,62.1269,365,100.163,325,99.8021,327,113.099,291,118.302,331,-18.4995,338
"2026","Nicholls",68.3301,186,68.2317,130,104.124,269,105.982,237,110.526,235,112.184,234,-6.20249,237
"2026","NJIT",68.0544,202,67.9362,143,98.0409,342,97.3106,345,108.548,180,114.179,271,-16.8684,332
"2026","Norfolk St.",68.8898,155,67.9357,144,103.249,280,101.737,308,107.445,150,116.322,309,-14.585,321
"2026","North Alabama",65.5759,317,64.8673,313,102.606,299,99.789,329,117.926,348,119.04,338,-19.2508,342
"2026","North Carolina",68.7782,161,67.7623,153,115.776,57,121.611,35,103.633,73,100.572,34,21.039,30
"2026","North Carolina A&T",69.1315,141,68.5545,118,106.358,223,105.526,250,113.293,296,116.447,310,-10.9208,288
"2026","North Carolina Central",67.451,226,66.4293,234,100.46,321,99.5814,334,116.172,336,121.516,354,-21.9342,353
"2026","North Dakota",69.2362,135,67.2568,189,106.655,217,107.055,220,114.299,314,116.617,312,-9.56153,276
"2026","North Dakota St.",68.0273,203,66.385,238,114.563,70,112.032,125,102.597,56,106.897,119,5.13476,114
"2026","North Florida",71.9545,28,70.4293,34,106.749,216,107.139,219,123.64,363,124.715,363,-17.5759,335
"2026","North Texas",65.8506,302,64.8243,315,102.897,292,103.931,275,101.105,39,101.889,43,2.0421,139
"2026","Northeastern",69.6542,113,69.6197,66,107.101,210,107.795,201,115.932,334,118.3,330,-10.5049,283
"2026","Northern Arizona",65.5099,320,63.8782,341,104.048,271,105.363,254,118.863,352,119.795,344,-14.432,320
"2026","Northern Colorado",70.024,89,68.8077,106,113.566,85,112.461,117,109.645,210,110.493,198,1.96844,140
"2026","Northern Illinois",68.9652,150,67.467,177,96.3432,352,97.2067,346,114.134,310,114.535,281,-17.3283,334
